2017-08-12 15:34:03,036 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:34:03,082 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-portal:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-portal\pom.xml.
2017-08-12 15:34:03,123 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-login:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-login\pom.xml.
2017-08-12 15:34:03,160 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-product-service:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-product-service\pom.xml.
2017-08-12 15:34:05,483 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,485 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,487 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,488 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,651 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,652 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,653 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,654 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,675 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,676 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,677 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,678 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,701 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,701 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:05,703 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:05,703 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:25,748 [Worker-42] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-cms-service:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-cms-service\pom.xml.
2017-08-12 15:34:25,920 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-cms-service/src/main/java
2017-08-12 15:34:25,920 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-cms-service/src/main/resources
2017-08-12 15:34:25,921 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-cms-service/src/test/java
2017-08-12 15:34:25,921 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-cms-service/src/test/resources
2017-08-12 15:34:26,295 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:26,295 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:26,297 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:26,298 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:26,462 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.baba.babasport:parent:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\pom.xml.
2017-08-12 15:34:26,979 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-product-service:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-product-service\pom.xml.
2017-08-12 15:34:27,017 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:34:27,067 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-portal:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-portal\pom.xml.
2017-08-12 15:34:27,129 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-login:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-login\pom.xml.
2017-08-12 15:34:27,185 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-cms-service:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-cms-service\pom.xml.
2017-08-12 15:34:29,838 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:29,841 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:29,842 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:34:29,843 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
